137;6;Bitcoin SV (BSV);BSV;995;0;10111111101111111111111111111111111111111110111111111111111111000000001111111111111111111111001011111111011111101000000100001101001011111111111111111111111111111111111111111111010001110111111001010000100100111110111001100000000
138;16;Polygon (MATIC);MATIC;1014;0;11111111111111111111111111111111111111111110111111111111111111000000001111111111111111111110011010000000000010111100000100101101111111111111111111101111111111111111111111110111010001110111111001010000101100000000000000011110001
139;8;Ethereum (ETH);ETH;993;0;11111111111111111111111111111111111111111110111111111111111111000000101111111111111111111111111111111111111111111100001100111101111111111111111111111111111111111111111111111111110001111111111101111100101111111111111001111111111
140;17;Dash (DASH);DASH;992;0;11111111111111111111111111111111111111111110111111111111111111000000101111111111111111111111111111111111011011111100001100111101111111111111111111111111111111111111111111111111110001111111111101111100101111111111111111111110001
141;222;Наличные EUR;EUR Наличными;978;5;10001001001111111111111111111111111111111110111111111111000001000000001100110000011100011110010000011000000000000000000000000101000000000000000000001000000000000001010000000000000000000110000000000000100001000000000000000000000
142;85;Advanced Cash UAH;UAH AdvCash;980;1;10111111111111111111111111111111111111111110111111111111111111000000101111111111111101111100001110000010000010110010001100001101001001111111111111111111111111111111111111110111010001110111111001110000101111001001111001110110000
143;129;Альфа cash-in USD;USD Альфа cash-in;840;3;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
144;70;Paymer RUB;RUB Paymer;643;1;00000000000000000100000000000000000000000000000000000000000000000000001000000000001100011000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
145;95;Capitalist USD;USD Capitalist;840;1;10111111111111111111111111111111111111111110111111111111111101000000001111111111111111111100110010000010000010110010001000001101001001111111111111111111111111111111111111110111010001110111111101011000101111001001111001111111001
146;173;Visa/MasterCard GBP;GBP Карта;826;3;10001101001111111101101111110110011110001000101101111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
